,,,,
,,,,
,,,,
Name,#1,#2,#3,#4
Correction,UV,UV,UV,UV
Date,2024/07/02,2024/07/02,2024/07/02,2024/07/02
Time,18:08:44,18:09:02,18:09:11,18:09:19
Sync. frequency [Hz],0.00,0.00,0.00,0.00
T_int [ms],71.78,136.63,100.00,53680.71
Averages,3,3,3,3
,,,,
,,,,
,,,,
Wavelength [nm],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)]
614,2.19329E-03,8.72269E-04,1.68600E-06,2.31689E-06
615,1.86779E-03,7.45806E-04,8.68455E-07,2.09275E-06
616,1.43297E-03,5.64296E-04,3.59956E-06,1.83567E-06
617,1.07966E-03,4.28260E-04,1.63673E-06,1.61276E-06
618,8.74536E-04,3.52295E-04,1.83315E-06,7.10985E-07
619,7.81069E-04,3.17797E-04,8.76753E-07,8.21544E-07
620,7.42889E-04,3.05715E-04,1.29173E-06,9.50060E-07
621,7.44166E-04,2.97253E-04,2.77770E-06,1.31013E-06
622,7.45703E-04,2.94690E-04,0.00000E+00,9.40610E-07
623,7.75891E-04,3.09971E-04,0.00000E+00,8.22589E-07
624,8.33404E-04,3.29719E-04,0.00000E+00,6.30172E-07
625,9.08881E-04,3.66189E-04,0.00000E+00,1.16645E-06
626,1.05080E-03,4.17734E-04,2.71477E-06,1.77533E-06
627,1.45931E-03,5.75546E-04,2.20630E-06,1.41443E-06
628,2.43882E-03,9.61521E-04,4.03612E-06,2.38381E-06
629,3.82529E-03,1.50535E-03,4.59525E-06,3.50001E-06
630,5.03679E-03,1.99597E-03,7.00592E-06,4.76108E-06
631,5.61655E-03,2.23073E-03,1.16653E-05,5.01959E-06
632,5.37889E-03,2.12678E-03,1.13908E-05,4.64136E-06
633,4.88662E-03,1.92277E-03,1.05968E-05,4.10615E-06
634,4.48255E-03,1.77198E-03,1.01519E-05,4.42543E-06
635,4.10752E-03,1.62323E-03,8.78415E-06,3.68900E-06
636,3.45144E-03,1.35695E-03,8.11776E-06,3.50012E-06
637,2.44844E-03,9.64536E-04,7.59094E-06,1.87613E-06
638,1.49983E-03,5.98967E-04,2.82120E-06,1.30851E-06
639,8.75305E-04,3.44679E-04,1.85621E-06,9.77814E-07
640,5.16157E-04,2.04317E-04,4.55265E-07,5.24720E-07
641,3.42819E-04,1.41663E-04,1.58708E-07,6.55783E-07
642,2.84610E-04,1.12918E-04,8.88344E-07,5.95532E-07
643,2.81249E-04,1.13732E-04,5.64379E-07,1.11367E-06
644,3.50984E-04,1.38488E-04,8.06111E-07,7.59880E-07
645,5.35851E-04,2.13405E-04,1.24991E-06,7.07092E-07
646,8.03866E-04,3.19890E-04,2.83310E-06,1.41484E-06
647,1.01041E-03,4.02491E-04,4.72045E-06,1.06170E-06
648,1.03611E-03,4.16060E-04,5.53023E-06,8.60760E-07
649,8.75752E-04,3.50378E-04,4.80559E-06,8.37129E-07
650,6.36490E-04,2.53297E-04,3.17734E-06,7.14774E-07
651,4.48940E-04,1.80830E-04,1.58426E-07,5.11476E-08
652,3.50131E-04,1.38695E-04,1.00377E-06,4.40526E-07
653,2.88794E-04,1.16410E-04,1.57093E-06,4.98171E-07
654,2.47394E-04,1.01220E-04,1.14984E-06,5.66441E-07
655,2.07764E-04,8.38033E-05,5.00440E-07,6.77744E-07
656,1.83916E-04,7.14631E-05,1.14314E-08,5.80256E-07
657,1.55737E-04,6.44728E-05,1.99148E-07,6.35918E-07
658,1.38778E-04,5.78208E-05,6.49427E-07,6.40176E-08
659,1.20096E-04,4.98494E-05,5.68780E-07,8.74896E-08
660,1.08577E-04,4.53888E-05,0.00000E+00,2.97312E-07
661,9.60408E-05,3.91732E-05,0.00000E+00,3.71777E-07
662,8.34861E-05,3.37990E-05,6.04523E-07,5.40563E-08
663,7.11069E-05,3.00675E-05,0.00000E+00,4.00965E-07
