,,,
,,,
,,,
Name,#1,#2,#3
Correction,UV,UV,UV
Date,2024/08/06,2024/08/06,2024/08/06
Time,00:21:02,00:21:54,00:23:09
Sync. frequency [Hz],1000.00,1000.00,1000.00
T_int [ms],70.00,135.00,100.00
Averages,3,3,3
,,,
,,,
,,,
Wavelength [nm],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)]
711,6.91467E-06,5.25172E-06,5.12267E-07
712,9.19346E-06,7.36743E-06,7.66612E-07
713,7.40000E-06,3.05902E-06,2.06729E-06
714,6.86909E-06,3.90932E-06,1.26633E-06
715,6.82338E-06,5.77186E-06,9.95806E-08
716,7.71222E-06,4.05837E-06,7.21046E-07
717,3.44893E-06,6.70566E-07,3.25016E-07
718,3.24146E-06,2.72410E-06,2.77494E-06
719,1.31754E-06,8.05757E-06,2.10347E-07
720,4.20869E-06,2.24071E-06,0.00000E+00
721,4.98618E-06,5.14302E-06,0.00000E+00
722,4.62694E-06,3.60834E-06,0.00000E+00
723,6.74458E-06,5.40049E-06,0.00000E+00
724,3.11235E-06,3.53746E-06,5.22015E-10
725,5.69598E-06,1.20160E-06,6.39974E-07
726,5.98606E-06,2.20139E-06,1.25183E-06
727,4.78684E-06,2.16545E-06,0.00000E+00
728,5.55703E-06,2.78990E-06,0.00000E+00
729,6.91651E-06,6.05292E-06,0.00000E+00
730,1.81616E-06,2.26142E-06,0.00000E+00
731,3.92554E-06,2.72255E-06,0.00000E+00
732,4.11617E-06,1.27674E-06,0.00000E+00
733,5.79613E-06,3.13264E-06,0.00000E+00
734,5.71284E-06,4.06155E-06,2.24777E-06
735,5.11746E-06,1.85270E-06,9.77590E-07
736,1.96481E-06,5.75958E-07,4.91203E-07
737,4.55539E-06,1.94759E-06,1.24008E-06
738,4.89180E-06,1.69238E-06,9.15193E-07
739,9.18101E-06,1.83633E-06,3.58878E-07
740,4.06150E-06,1.74552E-06,0.00000E+00
741,7.98010E-07,3.27605E-07,0.00000E+00
742,8.96017E-07,3.15475E-06,0.00000E+00
743,4.30999E-06,2.14688E-06,1.69570E-07
744,3.96561E-06,2.29613E-06,1.84854E-06
745,2.66051E-06,4.29682E-06,4.62226E-07
746,4.68303E-06,2.25553E-06,3.77044E-06
747,7.26258E-06,2.06762E-06,3.16414E-07
748,8.44578E-06,4.87228E-06,1.19495E-06
749,4.47863E-06,3.93909E-06,0.00000E+00
750,3.07027E-06,3.64299E-06,0.00000E+00
751,2.83342E-06,4.03738E-06,0.00000E+00
752,2.99874E-06,6.91068E-07,0.00000E+00
753,0.00000E+00,4.73933E-07,0.00000E+00
754,4.73837E-07,3.18618E-06,0.00000E+00
755,2.42433E-06,2.69359E-06,1.95376E-06
756,3.20913E-07,3.45022E-07,1.38042E-06
757,2.78420E-06,3.42017E-06,0.00000E+00
758,3.70078E-06,4.79904E-06,1.62089E-07
759,2.11412E-06,3.79361E-06,2.18022E-07
760,3.55505E-06,1.67348E-06,0.00000E+00
761,3.48501E-06,5.38201E-06,4.83309E-07
762,5.79424E-06,2.28675E-06,0.00000E+00
763,3.90538E-06,3.42502E-06,0.00000E+00
764,3.25639E-06,4.93293E-07,0.00000E+00
765,8.14535E-07,2.59357E-06,0.00000E+00
766,1.02086E-06,1.69832E-06,1.90924E-06
767,3.77981E-06,1.21041E-06,2.44783E-06
768,5.64073E-06,2.14452E-06,2.44151E-06
769,4.97468E-06,2.12164E-06,2.05635E-06
770,1.10231E-07,6.05619E-07,7.71615E-08
771,1.14352E-06,3.34264E-06,1.01163E-06
772,1.86844E-06,4.01522E-06,0.00000E+00
773,8.60813E-06,3.34333E-06,1.26819E-06
774,3.89303E-06,3.85392E-06,2.86553E-07
775,5.53270E-06,5.06263E-06,2.20384E-07
776,5.66049E-06,5.66260E-06,2.01758E-06
777,9.67510E-06,2.55337E-06,1.20186E-07
778,9.64446E-06,3.44517E-06,3.75257E-07
779,6.18294E-06,4.82621E-06,3.68783E-06
780,1.39238E-07,2.60728E-06,2.02528E-06
