,,,,,
,,,,,
,,,,,
Name,#1,#2,#3,#4,#4
Correction,UV,UV,UV,UV,UV
Date,2024/10/08,2024/10/08,2024/10/08,2024/10/08,2024/10/08
Time,17:09:24,17:10:17,17:10:48,17:11:10,17:11:10
Sync. frequency [Hz],0.00,0.00,0.00,0.00,0.00
T_int [ms],72.83,134.49,100.00,27885.52,27885.52
Averages,3,3,3,3,3
,,,,,
,,,,,
,,,,,
Wavelength [nm],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)]
576,2.77338E-05,2.28109E-04,9.73877E-06,4.04846E-07,4.04846E-07
577,2.99064E-05,2.10246E-04,7.70792E-06,5.46366E-07,5.46366E-07
578,3.07832E-05,1.94740E-04,7.52410E-06,1.23577E-07,1.23577E-07
579,3.93197E-05,1.75919E-04,4.28395E-06,9.00570E-09,9.00570E-09
580,4.21345E-05,1.66087E-04,4.81356E-06,1.56350E-07,1.56350E-07
581,4.37008E-05,1.51092E-04,5.37257E-06,9.83708E-08,9.83708E-08
582,4.80771E-05,1.41331E-04,2.65872E-06,1.55085E-07,1.55085E-07
583,5.50860E-05,1.34111E-04,5.67318E-06,2.03986E-07,2.03986E-07
584,6.42817E-05,1.24746E-04,3.41735E-06,1.41133E-07,1.41133E-07
585,7.53339E-05,1.20447E-04,2.55310E-06,2.53310E-07,2.53310E-07
586,8.07626E-05,1.13357E-04,3.25667E-06,7.98099E-08,7.98099E-08
587,8.82327E-05,1.07336E-04,2.18862E-06,1.91800E-07,1.91800E-07
588,9.86338E-05,1.01396E-04,3.02172E-06,1.97195E-07,1.97195E-07
589,1.09008E-04,9.99882E-05,3.91235E-06,3.33309E-07,3.33309E-07
590,1.21589E-04,9.80869E-05,9.43889E-08,1.43223E-07,1.43223E-07
591,1.28014E-04,9.47431E-05,3.25072E-06,2.26510E-07,2.26510E-07
592,1.35259E-04,9.64608E-05,2.19738E-06,2.01010E-07,2.01010E-07
593,1.42161E-04,9.14454E-05,3.53830E-07,3.62838E-07,3.62838E-07
